,0
98,Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks.
99,All quotes delayed a minimum of 15 minutes.
100,See here for a complete list of exchanges and delays.
101,© 2021 Reuters.
102,All rights reserved
103,"PORT-AU-PRINCE, Aug 15 (Reuters) - Haiti's hospitals were swamped on Sunday by thousands of injured residents after a devastating earthquake the day before killed at least 1,297 people as authorities raced to bring doctors to the worst-hit areas before a major storm hits."
104,The 7.2 magnitude quake on Saturday destroyed thousands of homes and buildings in a Caribbean nation which is still clawing its way back from another major temblor 11 years ago and is reeling from the assassination of its president last month.
105,"Southwestern Haiti bore the brunt of the blow, especially in the region in and around the town of Les Cayes."
106,"Haiti's Civil Protection Agency said the toll from the disaster had climbed to 1,297 and the hospitals that were still functioning were struggling to cope as some 5,700 people were injured."
107,"In the northwestern city of Jeremie, another badly hit area, doctors treated injured patients on hospital stretchers underneath trees and on mattresses by the side of the road, as healthcare centers have run out of space."
108,"""We do have a serious issue,"" Jerry Chandler, the head of Haiti's Civil Protection Agency, told Reuters."
109,"""There are very important facilities that are dysfunctional as we speak and those that are functional are receiving an overflow of patients,"" he said."
110,"The challenge facing Haiti has been exacerbated by the coronavirus pandemic, a severe economic downturn aggravated by fierce gang violence, and a political crisis that has engulfed the troubled nation after the assassination of President Jovenel Moise on July 7."
111,"Churches, hotels, hospitals and schools were badly damaged or destroyed, while the walls of a prison were rent open by the violent shudders that convulsed Haiti."
112,"Some 13,694 houses were destroyed, the civil protection agency said, suggesting the toll could rise further."
113,"In Les Cayes, a seafront town of some 90,000 people, rescuers in red hard hats and blue overalls pulled bodies from the tangled wreckage of one building, as a yellow mechanical excavator nearby helped to shift the rubble."
114,"Haiti's Prime Minister Ariel Henry, who flew to visit Les Cayes, praised the dignity shown by people there even in the midst of their suffering."
115,"""They are affected but resilient."
116,"They fight to survive,"" he said, thanking international agencies and foreign governments for their support."
117,"Nearby countries, including the Dominican Republic and Mexico, rushed to send desperately needed food and medicines by air and across Haiti's land border."
118,Colombia sent search and rescue personnel.
119,"The United States dispatched vital supplies and deployed a 65-person urban search-and-rescue team with specialized equipment, said Samantha Power, the administrator of the United States Agency for International Development (USAID)."
120,"From the Vatican, Pope Francis urged the international community to show support swiftly."
121,"""May solidarity from everyone lighten the consequences of the tragedy,"" he told pilgrims and tourists at his Sunday blessing in St. Peter's Square."
122,"However, Haiti's government appealed to aid organizations against setting up makeshift camps and urged them to work through the planning ministry, an apparent attempt to avoid the mistakes made following the devastating 2010 earthquake that killed tens of thousands of people."
123,"Soldiers and members of a rescue and protection team clean debris from a house after a 7.2 magnitude earthquake in Les Cayes, Haiti August 15, 2021."
124,REUTERS/Ralph Tedy Erol NO RESALES.
125,NO ARCHIVES
126,"Many Haitians prepared on Sunday to spend a second night sleeping in the open, traumatized by memories of that magnitude 7 quake 11 years ago that struck far closer to the sprawling capital, Port-au-Prince."
127,"At Port-au-Prince airport, international aid workers, doctors and rescue workers boarded flights to Les Cayes."
128,A U.S. Coast Guard helicopter ferried the wounded.
129,"The rescue and aid efforts will be complicated by Tropical Depression Grace, which is expected to lash Haiti with heavy rainfall on Monday."
130,"Some 75 to 100 milliliters of rainfall was expected, which may trigger landslides and cause some rivers to flood, Haiti's Civil Protection Agency said."
131,"""We ask the population to remain vigilant,"" the agency added."
132,"Thousands of people sleeping in the streets would be exposed to the torrential rains amid a rising risk of water-borne diseases, said Chandler, the head of the agency."
133,The death toll is expected to rise as telephone network has been down in more remote areas.
134,"In difficult-to-reach villages many houses were fragile and built on slopes vulnerable to landslides, said Alix Percinthe, from the ActionAid charity."
135,He said one local leader had informed him there were 47 deaths in his area not yet reported to regional authorities.
136,HUMANITARIAN CORRIDOR
137,Footage of Saturday's aftermath posted on social media showed residents reaching into narrow openings in piles of fallen masonry to pull shocked and distraught people from the debris of walls and roofs that had crumbled around them.
138,Access to the worst-hit areas was complicated by a deterioration in law and order that has left key access roads in parts of Haiti in the hands of gangs.
139,"In a video posted on social media, one gang leader said the armed groups had declared a truce along the route to Les Cayes."
140,Chandler said boats and helicopters were being used to bring in aid but the government was working to establish safe access by road.
141,A first convoy of aid had made it through by land to the region of Les Cayes.
142,"The United Nations called for a ""humanitarian corridor"" to be established so that aid can pass through gang-held territories."
143,"Following Moise's assassination, which authorities have alleged was carried out by a group of largely Colombian mercenaries and Haitian accomplices, Prime Minister Henry said officials would aim to hold elections for a new president as soon as possible."
144,"However, reports this week suggested that the vote initially earmarked for September would not take place until November."
145,The chaos unleashed by Saturday's disaster is likely to make the task of holding prompt elections harder still.
146,Haiti has long been politically unstable and Haitians have also suffered from problems stemming from international aid efforts and peace-keeping deployments during the past decade.
147,"A sexual misconduct scandal centering on Oxfam International blighted the record of charity workers in Haiti, while a cholera outbreak linked to U.N. peacekeepers led to thousands of deaths."
148,Our Standards: The Thomson Reuters Trust Principles.
149,Subscribe for our daily curated newsletter to receive the latest exclusive Reuters coverage delivered to your inbox.
150,"U.S. border agents are removing groups of mostly Haitian migrants from a large makeshift camp they had set up after wading across the Rio Grande separating Mexico and the United States, as the first repatriation flight arrived in Haiti on Sunday."
151,"Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day."
152,"Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers."
153,"Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology."
154,The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs.
155,"The industry leader for online information for tax, accounting and finance professionals."
156,"Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface."
157,"Access to real-time, reference, and non-real time data in the cloud to power your enterprise."
158,Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks.
159,All quotes delayed a minimum of 15 minutes.
160,See here for a complete list of exchanges and delays.
161,© 2021 Reuters.
162,All rights reserved
163,Discover Thomson Reuters
164,By Reuters Staff
165,1 Min Read
166,"Aug 14 (Reuters) - Another earthquake of magnitude 5.9 struck the Haiti region late on Saturday, the European Mediterranean Seismological Centre (EMSC) said, hours after a major quake in the region killed over 300 people."
167,"The latest quake was at a depth of 8km (4.97 miles), EMSC said."
168,(Reporting by Bhargav Acharya in Bengaluru; Editing by Christopher Cushing)
169,Our Standards: The Thomson Reuters Trust Principles.
170,Trending Stories
171,All quotes delayed a minimum of 15 minutes.
172,See here for a complete list of exchanges and delays.
173,U.S. job growth rose solidly in July amid demand for workers in the services industry
174,"NAN KONSEY, Haiti, Aug 30 (Reuters) - In a tent encampment in the mountains of southern Haiti, where hundreds of villagers sought shelter after a powerful earthquake flattened their homes this month, single..."
175,Read more on reuters.com
176,"A soldier cleans debris from a house after a 7.2 magnitude earthquake in Les Cayes, Haiti August 15, 2021."
177,REUTERS/Ralph Tedy Erol
178,"TOIRAC, Haiti, Aug 17 (Reuters) - When the ground began to tremble during a church funeral service in the small village of Toirac in southern Haiti, Kettney Francois was trampled in the frantic stampede to escape."
179,"Fellow mourners pulled her out from the crush of people and carried her outside, but her teenage daughter and elderly mother were not so lucky."
180,They were among the hundreds of people killed when a devastating earthquake struck Haiti early on Saturday.
181,Both died when the entrance and part of the ceiling to the St Famille du Toirac church collapsed.
182,Residents say an estimated 20 lives were lost in the building in the tight-knit rural community inland from the city of Les Cayes.
183,"""I was crying out, where's my mother?"
184,"Where's my daughter?,"" Francois said, sitting outside the church."
185,"As she spoke, she suddenly jolted forward in terror."
186,"""Since the earthquake, I keep thinking the ground is trembling, that it's happening again."""
187,"Authorities have confirmed the deaths of at least 1,419 people, with another 6,900 injured, even as rescue workers continue to sift through rubble searching for bodies in and around Les Cayes, the area which bore the brunt of the quake."
188,"The death toll is expected to rise as rescue workers penetrate remote areas like Toirac, which is nearly an hour's drive from the nearest hospital, and only accessible by rocky dirt roads now scarred by deep slashes rent by the earthquake."
189,Hundreds of residents are now sleeping outdoors beneath tarps or the canopy of banana trees that help sustain many local livelihoods.
190,"They worry about the incoming storm, Grace, but with their homes destroyed, they have few options."
191,More than a dozen residents interviewed by Reuters said they were still waiting for government aid and did not know if the deaths in the village estimated by residents to be between 40 and 50 had been included in the national toll.
192,"With so many dead, residents decided to bury victims of the church collapse in a mass grave in a nearby cemetery, said Prenor Lefleur, who helped move the bodies and dig the hole."
193,"""We just took down the names of all the victims and asked their families to sign for permission to bury them,"" Lefleur said."
194,"""We didn't know what else to do."""
195,Our Standards: The Thomson Reuters Trust Principles.
196,Subscribe for our daily curated newsletter to receive the latest exclusive Reuters coverage delivered to your inbox.
197,"U.S. border agents are removing groups of mostly Haitian migrants from a large makeshift camp they had set up after wading across the Rio Grande separating Mexico and the United States, as the first repatriation flight arrived in Haiti on Sunday."
198,"Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day."
199,"Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers."
200,"Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology."
201,The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs.
202,"The industry leader for online information for tax, accounting and finance professionals."
203,"Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface."
204,"Access to real-time, reference, and non-real time data in the cloud to power your enterprise."
205,Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks.
206,All quotes delayed a minimum of 15 minutes.
207,See here for a complete list of exchanges and delays.
208,© 2021 Reuters.
209,All rights reserved
210,"People carry coffins during the funeral of four family members after the earthquake that took place on August 14th, in Marceline near Les Cayes, Haiti August 21, 2021."
211,REUTERS/Henry Romero
212,"MARCELINE, Haiti, Aug 22 (Reuters) - Families gathered in villages in southwestern Haiti this weekend for church and funeral services a week after an earthquake battered the region, killing more than 2,200 people and destroying tens of thousands of buildings."
213,The collapse of churches in some of the worst-affected towns and villages of the impoverished Caribbean nation left residents to grieve in open fields.
214,"At the Paroisse Saint-Joseph de Simon Roman Catholic church on the outskirts of Les Cayes, a southwestern city that bore the brunt of the quake, about 200 worshipers gathered early for the first Sunday Mass since the disaster."
215,"""Everyone was crying today for what they had lost,"" said the priest, Marc Orel Saël."
216,"""And everyone is stressed because the Earth is still shaking,"" he added, referring to near-daily aftershocks that have rattled nerves all week."
217,The quake struck Haiti amid a period of political upheaval following the assassination of President Jovenel Moise last month.
218,Allegations in a report by a local human rights group stirred new ferment on the weekend.
219,"The report by the National Human Rights Defense Network (RNDDH) into Moise's killing alleged that new Prime Minister Ariel Henry had spoken on the night of the assassination by telephone to one of the main suspects, Joseph Felix Badio."
220,"Jean-Junior Joseph, a close aide to Henry, wrote on Twitter on Saturday afternoon that the prime minister had told him he had ""never spoken"" to Badio, a former Haitian official."
221,read more
222,"Last Saturday's quake claimed the lives of at least 2,207 people."
223,"A total of 344 people are missing, while 12,268 people were injured, authorities said."
224,The disaster followed a devastating temblor in 2010 that killed tens of thousands of people.
225,"Recovery efforts have been impeded by flooding and damage to access roads, feeding tensions in some of the hardest-hit areas."
226,"Exasperation over delays in assistance began to boil over in recent days, with residents looting aid trucks in several towns across the south, stirring concerns about security."
227,"On Sunday evening, the French Embassy in Haiti said 40 French rescue workers had arrived, bringing a water treatment unit to Les Cayes that will provide up to 220,000 liters (220 cubic metres) of drinking water a day."
228,"In the village of Marceline, dozens of mourners dressed in elegant black or white suits gathered in front of a damaged Catholic school to hold a funeral service for four members of the same family who died in the magnitude 7.2 quake."
229,"Men and women wept on Saturday over the four white coffins: three small ones for the children and a larger one for the family's matriarch, 90-year-old Marie Rose Morin."
230,"""I'm distraught looking at these coffins,"" said Edouard Morin, her son."
231,"Morin was also burying his daughter, Kelly, 15, his niece Wood-Langie, 10, and his nephew Carl-Handy, 4."
232,"""I would feel better if I were being buried in the same grave as my mother,"" he said."
233,"The four-way funeral cost $1,750, a huge sum for farmers in rural parts of a nation where per-capita gross domestic product is less than $1,200, according to World Bank data."
234,"Franck Morin, Wood-Langie's father, recalled how he had left for work as a driver only minutes before the ground began to shake."
235,"He rushed back, only to find his wife bleeding from her legs and sobbing in front of the heap that was once their home."
236,The two of them dug through the rubble for two days until they found their daughter's body.
237,"""She was loved by the whole community, she was always dancing in church,"" said Morin."
238,"Outside another Catholic church overlooking the main park in Les Cayes, dozens of worshipers gathered for Sunday Mass in the yard adjacent to the damaged cathedral."
239,"""Let's go fulfill the work of the Lord,"" the priest intoned as he closed the ceremony."
240,Our Standards: The Thomson Reuters Trust Principles.
241,Subscribe for our daily curated newsletter to receive the latest exclusive Reuters coverage delivered to your inbox.
242,"U.S. border agents are removing groups of mostly Haitian migrants from a large makeshift camp they had set up after wading across the Rio Grande separating Mexico and the United States, as the first repatriation flight arrived in Haiti on Sunday."
243,"Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day."
244,"Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers."
245,"Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology."
246,The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs.
247,"The industry leader for online information for tax, accounting and finance professionals."
248,"Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface."
249,"Access to real-time, reference, and non-real time data in the cloud to power your enterprise."
250,Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks.
251,All quotes delayed a minimum of 15 minutes.
252,See here for a complete list of exchanges and delays.
253,© 2021 Reuters.
254,All rights reserved
255,"A woman stands in front of a tent encampment built after the August 14 earthquake destroyed houses and infrastructure in the Nan Konsey neighborhood of Pestel, Haiti August 23, 2021."
256,"Picture taken August 23, 2021."
257,REUTERS/Ricardo Arduengo
258,"NAN KONSEY, Haiti, Aug 30 (Reuters) - In a tent encampment in the mountains of southern Haiti, where hundreds of villagers sought shelter after a powerful earthquake flattened their homes this month, a single charred cob of corn was the only food in sight."
259,"""I'm hungry and my baby is hungry,"" said Sofonie Samedy, gesturing to her pregnant stomach."
260,"Samedy had eaten only intermittently since the 7.2-magnitude earthquake on Aug. 14 destroyed much of Nan Konsey, a remote farming village not far from the epicenter."
261,"Across Haiti, the quake killed more than 2,000 people and left tens of thousands homeless."
262,"In Nan Konsey, the earth's convulsions tore open the village's cement cisterns used to store drinking water and triggered landslides that interred residents' modest subsistence farms."
263,"Since then, Samedy and the rest of the community have camped alongside the main highway, about a 40-minute walk from their village, hoping to flag down the rare passing truck to ask for food and water."
264,"""I'm praying I can still give birth to a healthy baby, but of course I'm a little afraid,"" she said."
265,"Haiti, the poorest country in the Americas, has long had one of the world's highest levels of food insecurity."
266,"Last year, Haiti ranked 104 out of the 107 countries on the Global Hunger Index."
267,"By September, the United Nations said 4 million Haitians - 42% of the population - faced acute food insecurity."
268,"This month's earthquake has exacerbated the crisis: destroying crops and livestock, leveling markets, contaminating waterways used as sources of drinking water, and damaging bridges and roads crucial to reaching villages like Nan Konsey."
269,"The number of people in urgent need of food assistance in the three departments hardest-hit by the earthquake - Sud, Grand'Anse and Nippes - has increased by one-third since the quake, from 138,000 to 215,000, according to the World Food Programme (WFP)."
270,"""The earthquake rattled people who were already struggling to feed their families,"" Lola Castro, WFP's regional director for Latin America and the Caribbean, said in a statement."
271,"""The compound effects of multiple crises are devastating communities in the south faced with some of the highest levels of food insecurity in the country."""
272,'IN THE HANDS OF GOD'
273,"Just off the highway leading to Nan Konsey, a few dozen men gathered at a goat market, where they sold off their remaining livestock to secure cash to feed their children or to pay for family members' funerals."
274,"Before the quake, farmer Michel Pierre had tended 15 goats and cultivated yams, potatoes, corn, and banana trees."
275,He arrived at the market with the only two animals that survived the earthquake.
276,"With his crops also buried beneath landslides, he hoped to earn about $100 from the sale to feed himself, his wife and his children."
277,"When that money runs dry, he said, he isn't sure what he will do."
278,He is still in debt from when Hurricane Matthew ravaged Haiti in 2016.
279,"""Day by day, it's getting harder to be a farmer,"" he said."
280,"""I am in the hands of God."""
281,"Haiti was largely food self-sufficient until the 1980s, when at the encouragement of the United States it started loosening restrictions on crop imports and lowered tariffs."
282,A subsequent flood of surplus U.S. crops put droves of Haitian farmers out of business and contributed to investment in the sector tailing off.
283,"In recent years, climate change has made Hispaniola - the island Haiti shares with the Dominican Republic - increasingly vulnerable to extreme droughts and hurricanes."
284,"Spiraling food costs, economic decline and political instability have worsened the shortages."
285,"For Gethro Polyte, a teacher and farmer living north of the town of Camp-Perrin, the earthquake decimated his two main sources of income: leveling the school where he taught fourth grade, and submerging his crops and livestock in an avalanche of earth."
286,"Before the disaster, he and his family had been able to pull together two meals a day and draw water from underground springs, he said."
287,"But since then, his food supplies have dwindled down to a few yams and bananas, and the water has been contaminated with silt."
288,"Polyte doubted the school would be rebuilt for classes to start in September and for him to receive a paycheck, given the chaos following the assassination of President Jovenel Moise in July."
289,"And with bank loans still to pay off, he doubted he'd be able to secure money to invest in rebuilding his farm."
290,"""We are living now by eating a little something just to kill the hunger,"" he said."
291,"""And, of course, things will only grow worse in the coming days."""
292,Our Standards: The Thomson Reuters Trust Principles.
293,Subscribe for our daily curated newsletter to receive the latest exclusive Reuters coverage delivered to your inbox.
294,"U.S. border agents are removing groups of mostly Haitian migrants from a large makeshift camp they had set up after wading across the Rio Grande separating Mexico and the United States, as the first repatriation flight arrived in Haiti on Sunday."
295,"Reuters, the news and media division of Thomson Reuters, is the world’s largest multimedia news provider, reaching billions of people worldwide every day."
296,"Reuters provides business, financial, national and international news to professionals via desktop terminals, the world's media organizations, industry events and directly to consumers."
297,"Build the strongest argument relying on authoritative content, attorney-editor expertise, and industry defining technology."
298,The most comprehensive solution to manage all your complex and ever-expanding tax and compliance needs.
299,"The industry leader for online information for tax, accounting and finance professionals."
300,"Information, analytics and exclusive news on financial markets - delivered in an intuitive desktop and mobile interface."
301,"Access to real-time, reference, and non-real time data in the cloud to power your enterprise."
302,Screen for heightened risk individual and entities globally to help uncover hidden risks in business relationships and human networks.
303,All quotes delayed a minimum of 15 minutes.
304,See here for a complete list of exchanges and delays.
305,© 2021 Reuters.
306,All rights reserved
307,"A woman on a stretcher is pictured with a baby after a 7.2 magnitude earthquake in Les Cayes, Haiti August 15, 2021."
308,REUTERS/Estailove St-Val
309,"PORT-AU-PRINCE, Aug 16 (Reuters) - The earthquake that ravaged Haiti on Saturday has revived anger over international aid agencies' response to a devastating quake there 11 years ago, stirring calls to ensure donations do a better job of reaching the people who need them most."
310,"Haitians and well-wishers have taken to social media to urge donors to send money directly to Haitian charities or via the government, criticizing what they saw as misuse of funds after the 2010 quake and a major hurricane in 2016."
311,"Despite billions of dollars in aid, Haiti has slipped down global development rankings, violence is widespread and its institutions were already in turmoil when President Jovenel Moise was shot dead last month by what the government says was a group of largely Colombian mercenaries."
312,"Saturday's quake in the poorest country in the Americas killed at least 1,419 people and injured thousands more."
313,read more
314,"It prompted pledges of support from U.N. bodies, the U.S. Agency for International Development (USAID), the Red Cross and governments around the world."
315,"But with the scars of the last quake still visible in the Caribbean nation's capital Port-au-Prince, there were calls right from the top for the aid response to be different in 2021."
316,"""We will not repeat the same things that were done in 2010,"" Prime Minister Ariel Henry said on Monday."
317,"""A lot of donations were made to the country, and a lot of money was spent without seeing the impact."""
318,"Jonathan Katz, a journalist and author of ""The Big Truck That Went By,"" a damning critique of the international response to the 2010 earthquake, which killed more than 200,000 people, said the money needed to go directly to the Haitian population."
319,"""The world had 11 years to prepare for the next earthquake."
320,"We did not,"" he added."
321,"""Don't shuffle money from the State Department to the Defense Department by way of USAID and tell the world that that was money for Haiti."""
322,"Much of the U.S. military spending right after the natural disaster was more focused on preventing social unrest and deterring mass migration than rebuilding, said Katz."
323,The Pentagon did not immediately respond to a request for comment on Monday.
324,"The State Department said that, while it spent money evacuating staff and U.S. citizens and keeping the local embassy operating in 2010, its diplomatic programs had ""no relation"" to security assistance, military spending or migration programs."
